phno	uno	pno	date	size	state
424	39	56	2023-08-22	S(2),M(0),L(1),XL(2)	6
425	55	52	2023-08-22	S(0),M(2),L(0),XL(0)	6
426	85	47	2023-08-22	S(2),M(1),L(0),XL(0)	5
427	8	75	2023-08-22	S(0),M(0),L(2),XL(2)	2
428	28	69	2023-08-22	S(2),M(0),L(2),XL(0)	2
429	57	28	2023-08-22	S(1),M(1),L(1),XL(1)	1
430	4	71	2023-08-22	S(1),M(1),L(0),XL(1)	5
431	47	13	2023-08-22	S(2),M(2),L(1),XL(1)	4
432	59	92	2023-08-22	S(1),M(2),L(1),XL(2)	1
433	56	17	2023-08-22	S(1),M(1),L(1),XL(1)	4
434	97	1	2023-08-22	S(2),M(1),L(2),XL(1)	6
435	45	33	2023-08-23	S(2),M(1),L(2),XL(1)	6
436	15	68	2023-08-23	S(1),M(2),L(1),XL(0)	4
437	74	44	2023-08-23	S(1),M(2),L(1),XL(0)	1
438	71	80	2023-08-23	S(2),M(0),L(2),XL(1)	1
439	39	13	2023-08-23	S(1),M(1),L(0),XL(2)	1
440	22	98	2023-08-23	S(0),M(1),L(0),XL(0)	2
441	59	58	2023-08-23	S(1),M(1),L(2),XL(2)	2
442	39	11	2023-08-23	S(1),M(0),L(1),XL(0)	3
443	98	44	2023-08-23	S(1),M(1),L(2),XL(2)	5
444	77	15	2023-08-23	S(0),M(2),L(2),XL(1)	4
445	41	11	2023-08-23	S(1),M(0),L(2),XL(2)	5
446	3	27	2023-08-23	S(1),M(0),L(2),XL(0)	5
447	61	50	2023-08-23	S(0),M(2),L(1),XL(0)	3
448	2	4	2023-08-23	S(0),M(1),L(0),XL(1)	6
449	57	6	2023-08-23	S(1),M(2),L(0),XL(1)	4
450	16	40	2023-08-23	S(0),M(0),L(1),XL(1)	3
451	17	33	2023-08-23	S(2),M(0),L(0),XL(0)	3
452	51	93	2023-08-23	S(0),M(1),L(1),XL(0)	5
453	34	19	2023-08-23	S(2),M(0),L(1),XL(1)	6
454	13	22	2023-08-23	S(1),M(0),L(1),XL(0)	2
455	35	6	2023-08-24	S(1),M(2),L(1),XL(1)	3
456	93	69	2023-08-24	S(2),M(2),L(2),XL(0)	5
457	100	58	2023-08-24	S(1),M(1),L(2),XL(2)	5
458	56	71	2023-08-24	S(1),M(2),L(0),XL(1)	1
459	99	32	2023-08-24	S(2),M(1),L(1),XL(2)	3
460	66	42	2023-08-24	S(0),M(1),L(2),XL(1)	3
461	50	8	2023-08-24	S(1),M(2),L(0),XL(1)	4
462	6	91	2023-08-24	S(0),M(2),L(1),XL(1)	6
463	60	20	2023-08-24	S(0),M(2),L(2),XL(0)	6
464	68	3	2023-08-24	S(2),M(0),L(0),XL(1)	2
465	28	94	2023-08-24	S(2),M(1),L(2),XL(1)	5
466	62	19	2023-08-24	S(1),M(1),L(2),XL(2)	4
467	96	9	2023-08-24	S(0),M(0),L(2),XL(0)	2
468	72	88	2023-08-24	S(2),M(0),L(1),XL(0)	5
469	62	36	2023-08-24	S(2),M(1),L(0),XL(2)	2
470	72	17	2023-08-24	S(2),M(1),L(2),XL(1)	6
471	100	85	2023-08-24	S(0),M(2),L(2),XL(0)	2
472	24	91	2023-08-24	S(0),M(1),L(0),XL(1)	4
473	36	57	2023-08-24	S(0),M(1),L(2),XL(2)	1
474	14	13	2023-08-24	S(1),M(1),L(0),XL(0)	2
475	8	88	2023-08-25	S(0),M(0),L(2),XL(1)	3
476	70	25	2023-08-25	S(1),M(1),L(1),XL(0)	6
477	79	53	2023-08-25	S(1),M(1),L(0),XL(1)	4
478	48	30	2023-08-25	S(0),M(0),L(2),XL(2)	4
479	45	74	2023-08-25	S(0),M(2),L(1),XL(1)	2
480	47	16	2023-08-25	S(0),M(2),L(2),XL(0)	5
481	25	85	2023-08-25	S(0),M(0),L(1),XL(0)	6
482	68	49	2023-08-25	S(0),M(1),L(2),XL(1)	6
483	66	20	2023-08-25	S(1),M(2),L(2),XL(1)	1
484	34	91	2023-08-25	S(2),M(2),L(0),XL(2)	4
485	38	1	2023-08-25	S(1),M(2),L(1),XL(2)	5
486	60	89	2023-08-25	S(0),M(2),L(2),XL(0)	4
487	24	72	2023-08-25	S(0),M(2),L(1),XL(0)	3
488	95	87	2023-08-25	S(1),M(2),L(1),XL(2)	3
489	26	19	2023-08-25	S(2),M(1),L(2),XL(0)	6
490	50	38	2023-08-25	S(1),M(0),L(2),XL(2)	3
491	15	71	2023-08-25	S(1),M(0),L(2),XL(2)	6
492	62	5	2023-08-25	S(2),M(2),L(1),XL(1)	5
493	86	94	2023-08-25	S(2),M(0),L(2),XL(0)	4
494	98	27	2023-08-25	S(2),M(0),L(2),XL(0)	1
495	89	82	2023-08-25	S(2),M(0),L(0),XL(2)	4
496	19	19	2023-08-26	S(1),M(0),L(2),XL(0)	1
497	11	84	2023-08-26	S(0),M(1),L(2),XL(2)	4
498	86	20	2023-08-26	S(1),M(1),L(0),XL(0)	1
499	78	13	2023-08-26	S(1),M(0),L(1),XL(0)	2
500	85	65	2023-08-26	S(2),M(1),L(2),XL(2)	6
501	25	9	2023-08-26	S(2),M(0),L(0),XL(1)	6
502	8	25	2023-08-26	S(1),M(0),L(1),XL(1)	2
503	67	47	2023-08-26	S(1),M(1),L(2),XL(0)	4
504	3	99	2023-08-26	S(1),M(1),L(2),XL(1)	5
505	59	43	2023-08-26	S(0),M(2),L(2),XL(1)	5
506	36	18	2023-08-26	S(0),M(1),L(2),XL(2)	4
507	19	61	2023-08-26	S(2),M(1),L(2),XL(0)	2
508	84	26	2023-08-26	S(1),M(0),L(0),XL(2)	3
509	71	41	2023-08-26	S(0),M(1),L(2),XL(2)	6
510	18	45	2023-08-26	S(0),M(0),L(2),XL(0)	5
511	2	48	2023-08-27	S(1),M(2),L(2),XL(2)	6
512	44	11	2023-08-27	S(2),M(1),L(2),XL(2)	1
513	89	97	2023-08-27	S(0),M(2),L(2),XL(2)	3
514	24	61	2023-08-27	S(2),M(1),L(1),XL(2)	1
515	72	47	2023-08-27	S(2),M(0),L(0),XL(2)	2
516	67	45	2023-08-27	S(0),M(1),L(1),XL(2)	3
517	26	97	2023-08-27	S(2),M(2),L(0),XL(0)	2
518	72	94	2023-08-27	S(0),M(1),L(1),XL(1)	4
519	19	80	2023-08-27	S(2),M(1),L(1),XL(2)	4
520	26	4	2023-08-27	S(2),M(2),L(2),XL(1)	1
521	5	43	2023-08-27	S(2),M(0),L(1),XL(2)	6
522	5	99	2023-08-27	S(1),M(1),L(1),XL(2)	2
523	79	86	2023-08-27	S(1),M(2),L(1),XL(2)	4
524	71	9	2023-08-27	S(2),M(2),L(2),XL(1)	3
525	44	32	2023-08-27	S(2),M(0),L(0),XL(1)	1
526	92	34	2023-08-28	S(0),M(1),L(2),XL(1)	5
527	94	63	2023-08-28	S(2),M(2),L(2),XL(0)	5
528	15	50	2023-08-28	S(1),M(0),L(2),XL(2)	1
529	73	43	2023-08-28	S(2),M(2),L(2),XL(1)	5
530	27	63	2023-08-28	S(0),M(1),L(1),XL(1)	4
531	84	47	2023-08-28	S(0),M(1),L(2),XL(0)	5
532	57	84	2023-08-28	S(1),M(1),L(1),XL(2)	4
533	65	10	2023-08-28	S(2),M(1),L(1),XL(2)	6
534	95	79	2023-08-28	S(0),M(2),L(0),XL(1)	4
535	9	5	2023-08-28	S(1),M(1),L(0),XL(2)	5
536	38	95	2023-08-28	S(2),M(2),L(2),XL(1)	4
537	7	98	2023-08-28	S(1),M(0),L(2),XL(0)	2
538	51	11	2023-08-28	S(1),M(1),L(0),XL(0)	3
539	76	81	2023-08-28	S(0),M(1),L(0),XL(0)	3
540	69	21	2023-08-28	S(1),M(1),L(2),XL(0)	6
541	30	22	2023-08-28	S(2),M(1),L(0),XL(0)	5
542	88	65	2023-08-28	S(1),M(0),L(0),XL(0)	5
543	69	90	2023-08-28	S(2),M(1),L(0),XL(2)	1
544	15	86	2023-08-28	S(0),M(2),L(2),XL(2)	3
545	12	61	2023-08-28	S(0),M(0),L(1),XL(0)	4
546	31	1	2023-08-28	S(0),M(2),L(2),XL(1)	3
547	19	83	2023-08-28	S(2),M(1),L(1),XL(2)	1
548	67	34	2023-08-28	S(2),M(0),L(2),XL(1)	2
549	96	26	2023-08-28	S(0),M(0),L(0),XL(2)	2
550	37	42	2023-08-28	S(2),M(1),L(2),XL(2)	4
551	97	72	2023-08-28	S(1),M(2),L(0),XL(1)	5
552	22	5	2023-08-29	S(2),M(0),L(1),XL(2)	1
553	99	62	2023-08-29	S(2),M(1),L(1),XL(0)	2
554	6	28	2023-08-29	S(0),M(2),L(0),XL(2)	5
555	25	76	2023-08-29	S(2),M(1),L(2),XL(0)	1
556	31	95	2023-08-29	S(2),M(2),L(1),XL(1)	2
557	63	12	2023-08-29	S(2),M(2),L(1),XL(0)	1
558	19	45	2023-08-29	S(2),M(1),L(1),XL(1)	3
559	16	9	2023-08-29	S(0),M(2),L(0),XL(1)	6
560	9	72	2023-08-29	S(2),M(2),L(0),XL(1)	3
561	61	71	2023-08-29	S(1),M(2),L(2),XL(1)	5
562	97	28	2023-08-29	S(2),M(1),L(0),XL(2)	1
563	48	35	2023-08-29	S(2),M(0),L(1),XL(0)	6
564	98	58	2023-08-29	S(1),M(0),L(0),XL(2)	1
565	8	94	2023-08-29	S(0),M(0),L(1),XL(0)	4
566	95	84	2023-08-29	S(2),M(1),L(0),XL(1)	4
567	9	58	2023-08-29	S(1),M(2),L(0),XL(0)	6
568	12	24	2023-08-29	S(1),M(1),L(1),XL(0)	3
569	22	71	2023-08-29	S(2),M(1),L(2),XL(0)	6
570	16	8	2023-08-29	S(2),M(1),L(2),XL(1)	6
571	98	72	2023-08-29	S(1),M(0),L(2),XL(0)	1
572	81	2	2023-08-29	S(0),M(1),L(0),XL(1)	2
573	8	50	2023-08-29	S(1),M(2),L(0),XL(2)	3
574	19	14	2023-08-29	S(0),M(1),L(2),XL(0)	3
575	35	82	2023-08-29	S(2),M(1),L(2),XL(0)	1
576	81	5	2023-08-29	S(2),M(1),L(2),XL(1)	2
577	60	91	2023-08-29	S(1),M(0),L(0),XL(0)	6
578	38	22	2023-08-29	S(1),M(0),L(1),XL(1)	3
579	34	20	2023-08-30	S(2),M(0),L(1),XL(0)	4
580	29	57	2023-08-30	S(1),M(1),L(1),XL(2)	5
581	16	23	2023-08-30	S(1),M(2),L(2),XL(2)	3
582	83	18	2023-08-30	S(2),M(1),L(1),XL(1)	4
583	96	11	2023-08-30	S(2),M(0),L(1),XL(2)	1
584	71	82	2023-08-30	S(1),M(2),L(2),XL(0)	1
585	69	84	2023-08-30	S(0),M(1),L(0),XL(0)	5
586	99	71	2023-08-30	S(0),M(0),L(2),XL(1)	4
587	71	8	2023-08-30	S(1),M(1),L(2),XL(0)	3
588	7	63	2023-08-30	S(2),M(0),L(0),XL(0)	5
589	32	91	2023-08-30	S(2),M(0),L(0),XL(2)	6
590	36	94	2023-08-30	S(1),M(0),L(0),XL(0)	5
591	41	29	2023-08-30	S(1),M(0),L(2),XL(1)	1
592	99	32	2023-08-30	S(1),M(1),L(0),XL(0)	6
593	48	67	2023-08-30	S(2),M(1),L(0),XL(2)	2
594	14	26	2023-08-30	S(0),M(0),L(0),XL(1)	5
595	8	90	2023-08-30	S(1),M(0),L(2),XL(0)	2
596	81	80	2023-08-30	S(2),M(0),L(2),XL(0)	2
597	53	28	2023-08-30	S(1),M(2),L(1),XL(2)	1
598	79	96	2023-08-30	S(0),M(0),L(0),XL(2)	4
599	3	49	2023-08-31	S(0),M(2),L(0),XL(1)	6
600	65	65	2023-08-31	S(2),M(0),L(2),XL(1)	4
601	8	93	2023-08-31	S(2),M(2),L(2),XL(2)	3
602	23	54	2023-08-31	S(1),M(1),L(2),XL(0)	4
603	58	77	2023-08-31	S(1),M(1),L(2),XL(0)	4
604	23	65	2023-08-31	S(0),M(1),L(0),XL(1)	3
605	17	82	2023-08-31	S(2),M(0),L(1),XL(1)	3
606	73	24	2023-08-31	S(2),M(1),L(0),XL(0)	4
607	31	24	2023-08-31	S(0),M(2),L(2),XL(2)	1
608	48	15	2023-08-31	S(2),M(2),L(1),XL(0)	5
609	16	90	2023-08-31	S(1),M(0),L(1),XL(0)	6
610	45	6	2023-08-31	S(2),M(0),L(1),XL(2)	2
611	25	25	2023-08-31	S(1),M(1),L(1),XL(0)	1
612	30	29	2023-08-31	S(0),M(2),L(0),XL(1)	3
613	64	80	2023-08-31	S(1),M(2),L(2),XL(0)	1
614	49	6	2023-08-31	S(0),M(1),L(0),XL(1)	1
615	67	79	2023-08-31	S(1),M(1),L(2),XL(1)	6
616	15	41	2023-08-31	S(1),M(2),L(0),XL(2)	1
617	77	57	2023-09-01	S(1),M(2),L(2),XL(2)	4
618	54	53	2023-09-01	S(1),M(0),L(2),XL(1)	6
619	29	99	2023-09-01	S(0),M(0),L(1),XL(1)	1
620	10	58	2023-09-01	S(2),M(2),L(0),XL(0)	2
621	98	29	2023-09-01	S(2),M(1),L(0),XL(1)	1
622	94	21	2023-09-01	S(0),M(0),L(2),XL(1)	6
623	75	3	2023-09-01	S(1),M(2),L(2),XL(1)	2
624	6	30	2023-09-01	S(2),M(1),L(1),XL(2)	3
625	74	37	2023-09-01	S(2),M(1),L(0),XL(2)	6
626	29	39	2023-09-01	S(2),M(0),L(2),XL(1)	4
627	89	15	2023-09-01	S(0),M(1),L(2),XL(2)	3
628	97	61	2023-09-01	S(2),M(1),L(1),XL(1)	4
629	43	29	2023-09-01	S(0),M(1),L(0),XL(2)	5
630	52	63	2023-09-01	S(1),M(0),L(2),XL(0)	2
631	43	36	2023-09-01	S(0),M(2),L(0),XL(1)	4
632	15	86	2023-09-01	S(0),M(1),L(2),XL(2)	2
633	82	24	2023-09-01	S(1),M(1),L(2),XL(2)	3
634	6	66	2023-09-01	S(1),M(0),L(1),XL(0)	1
635	44	70	2023-09-01	S(2),M(0),L(1),XL(0)	2
636	48	92	2023-09-01	S(1),M(0),L(2),XL(0)	4
637	18	64	2023-09-01	S(1),M(1),L(1),XL(0)	1
638	43	4	2023-09-01	S(0),M(0),L(0),XL(1)	6
639	51	99	2023-09-02	S(0),M(2),L(2),XL(0)	2
640	89	99	2023-09-02	S(1),M(2),L(2),XL(1)	5
641	44	26	2023-09-02	S(1),M(0),L(0),XL(0)	1
642	60	53	2023-09-02	S(0),M(1),L(1),XL(0)	3
643	75	39	2023-09-02	S(1),M(0),L(2),XL(1)	5
644	64	66	2023-09-02	S(0),M(1),L(1),XL(2)	2
645	85	13	2023-09-02	S(2),M(1),L(1),XL(0)	6
646	87	94	2023-09-02	S(0),M(1),L(0),XL(2)	5
647	24	32	2023-09-02	S(1),M(2),L(0),XL(2)	5
648	29	17	2023-09-02	S(1),M(1),L(1),XL(2)	4
649	64	82	2023-09-02	S(2),M(0),L(1),XL(1)	5
650	20	88	2023-09-02	S(0),M(1),L(0),XL(1)	2
651	78	2	2023-09-02	S(1),M(2),L(2),XL(0)	4
652	60	75	2023-09-02	S(0),M(0),L(2),XL(2)	5
653	2	94	2023-09-02	S(2),M(1),L(1),XL(1)	2
654	49	24	2023-09-02	S(0),M(1),L(0),XL(2)	1
655	15	98	2023-09-02	S(2),M(0),L(2),XL(0)	2
656	88	52	2023-09-02	S(0),M(2),L(2),XL(1)	2
657	16	12	2023-09-02	S(0),M(1),L(2),XL(1)	5
658	53	85	2023-09-02	S(1),M(2),L(2),XL(1)	6
659	94	78	2023-09-02	S(0),M(0),L(1),XL(0)	1
660	12	79	2023-09-03	S(2),M(1),L(1),XL(2)	1
661	47	13	2023-09-03	S(1),M(2),L(1),XL(0)	3
662	36	94	2023-09-03	S(2),M(0),L(2),XL(1)	1
663	49	52	2023-09-03	S(0),M(0),L(1),XL(0)	3
664	73	2	2023-09-03	S(2),M(0),L(1),XL(2)	3
665	17	20	2023-09-03	S(2),M(2),L(2),XL(2)	5
666	27	21	2023-09-03	S(2),M(1),L(2),XL(1)	5
667	69	32	2023-09-03	S(1),M(0),L(0),XL(1)	5
668	89	21	2023-09-03	S(0),M(0),L(1),XL(0)	2
669	97	6	2023-09-03	S(0),M(2),L(0),XL(2)	1
670	56	55	2023-09-03	S(0),M(2),L(2),XL(0)	5
671	99	84	2023-09-03	S(2),M(1),L(0),XL(1)	3
672	95	95	2023-09-03	S(1),M(2),L(1),XL(1)	1
673	56	1	2023-09-03	S(0),M(1),L(0),XL(0)	2
674	20	40	2023-09-03	S(0),M(2),L(0),XL(1)	5
675	46	58	2023-09-03	S(0),M(1),L(0),XL(2)	4
676	68	51	2023-09-03	S(2),M(0),L(2),XL(1)	6
677	93	15	2023-09-03	S(0),M(1),L(1),XL(1)	4
678	65	43	2023-09-03	S(2),M(2),L(2),XL(0)	4
679	57	54	2023-09-03	S(1),M(1),L(1),XL(0)	4
680	100	86	2023-09-03	S(1),M(0),L(2),XL(1)	2
681	12	97	2023-09-03	S(2),M(2),L(2),XL(2)	3
682	8	21	2023-09-03	S(1),M(2),L(2),XL(0)	1
683	17	42	2023-09-04	S(0),M(1),L(2),XL(0)	1
684	70	78	2023-09-04	S(0),M(2),L(0),XL(2)	6
685	32	4	2023-09-04	S(2),M(0),L(0),XL(2)	2
686	63	16	2023-09-04	S(2),M(2),L(2),XL(0)	4
687	68	4	2023-09-04	S(1),M(2),L(0),XL(2)	4
688	38	83	2023-09-04	S(1),M(0),L(2),XL(2)	3
689	48	71	2023-09-04	S(1),M(2),L(2),XL(0)	1
690	20	41	2023-09-04	S(2),M(2),L(2),XL(1)	2
691	13	7	2023-09-04	S(2),M(1),L(2),XL(0)	2
692	4	43	2023-09-04	S(1),M(1),L(2),XL(2)	2
693	5	86	2023-09-04	S(0),M(0),L(1),XL(1)	5
694	43	87	2023-09-04	S(2),M(0),L(0),XL(2)	2
695	1	8	2023-09-04	S(0),M(0),L(0),XL(1)	4
696	23	49	2023-09-04	S(1),M(0),L(0),XL(0)	2
697	19	43	2023-09-04	S(0),M(1),L(2),XL(0)	6
698	38	75	2023-09-04	S(1),M(2),L(2),XL(1)	6
699	40	13	2023-09-04	S(1),M(0),L(0),XL(0)	2
700	69	51	2023-09-04	S(0),M(0),L(1),XL(1)	4
701	90	49	2023-09-04	S(1),M(1),L(0),XL(0)	6
702	83	29	2023-09-04	S(1),M(1),L(1),XL(2)	2
703	70	22	2023-09-04	S(0),M(2),L(2),XL(0)	2
704	66	1	2023-09-04	S(1),M(2),L(2),XL(2)	6
705	95	35	2023-09-05	S(2),M(2),L(1),XL(0)	5
706	78	2	2023-09-05	S(2),M(2),L(1),XL(0)	4
707	68	36	2023-09-05	S(1),M(2),L(0),XL(1)	1
708	40	40	2023-09-05	S(0),M(1),L(2),XL(1)	6
709	70	81	2023-09-05	S(1),M(2),L(0),XL(1)	4
710	48	88	2023-09-05	S(1),M(2),L(2),XL(2)	3
711	64	5	2023-09-05	S(0),M(0),L(2),XL(2)	2
712	97	92	2023-09-05	S(0),M(2),L(2),XL(0)	5
713	93	40	2023-09-05	S(1),M(1),L(1),XL(1)	6
714	28	92	2023-09-05	S(2),M(0),L(2),XL(1)	1
715	89	14	2023-09-05	S(1),M(1),L(0),XL(2)	4
716	94	24	2023-09-05	S(0),M(2),L(2),XL(1)	6
717	3	37	2023-09-05	S(2),M(0),L(1),XL(2)	3
718	79	71	2023-09-05	S(0),M(2),L(1),XL(1)	5
719	56	99	2023-09-05	S(2),M(0),L(2),XL(0)	5
720	77	53	2023-09-05	S(0),M(1),L(2),XL(2)	3
721	18	95	2023-09-05	S(0),M(2),L(1),XL(2)	6
722	5	43	2023-09-05	S(2),M(2),L(0),XL(2)	5
723	41	97	2023-09-05	S(1),M(0),L(1),XL(1)	4
724	62	55	2023-09-05	S(0),M(1),L(0),XL(2)	2
725	47	18	2023-09-05	S(2),M(2),L(0),XL(2)	1
726	86	26	2023-09-05	S(2),M(2),L(2),XL(2)	4
727	28	94	2023-09-05	S(2),M(0),L(1),XL(0)	3
728	3	96	2023-09-05	S(2),M(0),L(0),XL(2)	4
729	51	16	2023-09-05	S(0),M(1),L(1),XL(0)	4
730	70	57	2023-09-05	S(1),M(2),L(0),XL(0)	5
731	51	41	2023-09-05	S(2),M(2),L(2),XL(1)	2
732	54	38	2023-09-06	S(2),M(0),L(1),XL(1)	4
733	28	17	2023-09-06	S(0),M(0),L(2),XL(0)	2
734	83	6	2023-09-06	S(2),M(1),L(1),XL(2)	3
735	96	5	2023-09-06	S(2),M(1),L(2),XL(0)	1
736	23	7	2023-09-06	S(2),M(1),L(1),XL(0)	2
737	54	9	2023-09-06	S(1),M(0),L(1),XL(0)	5
738	71	46	2023-09-06	S(2),M(2),L(1),XL(0)	6
739	61	20	2023-09-06	S(1),M(0),L(2),XL(1)	5
740	60	16	2023-09-06	S(1),M(1),L(0),XL(1)	4
741	23	16	2023-09-06	S(0),M(1),L(2),XL(1)	4
742	44	4	2023-09-06	S(2),M(2),L(2),XL(1)	6
743	59	86	2023-09-06	S(1),M(2),L(0),XL(2)	3
744	28	3	2023-09-06	S(2),M(2),L(0),XL(2)	6
745	42	36	2023-09-06	S(0),M(1),L(1),XL(1)	3
746	30	44	2023-09-06	S(1),M(0),L(2),XL(2)	4
747	78	56	2023-09-06	S(2),M(2),L(1),XL(1)	6
748	3	93	2023-09-06	S(1),M(2),L(2),XL(1)	3
749	63	85	2023-09-06	S(2),M(1),L(1),XL(1)	3
750	46	77	2023-09-06	S(1),M(1),L(1),XL(0)	2
751	44	1	2023-09-06	S(0),M(2),L(2),XL(0)	4
752	76	69	2023-09-06	S(1),M(0),L(2),XL(1)	3
753	9	84	2023-09-06	S(2),M(2),L(1),XL(1)	6
754	19	76	2023-09-06	S(2),M(1),L(2),XL(2)	6
755	5	72	2023-09-07	S(2),M(0),L(2),XL(2)	5
756	75	4	2023-09-07	S(1),M(0),L(0),XL(1)	4
757	66	98	2023-09-07	S(0),M(0),L(0),XL(1)	3
758	59	37	2023-09-07	S(0),M(0),L(0),XL(1)	4
759	69	3	2023-09-07	S(1),M(1),L(2),XL(0)	2
760	47	33	2023-09-07	S(2),M(0),L(1),XL(1)	3
761	16	89	2023-09-07	S(0),M(1),L(1),XL(2)	5
762	92	68	2023-09-07	S(0),M(1),L(0),XL(1)	1
763	77	9	2023-09-07	S(1),M(1),L(2),XL(2)	2
764	18	84	2023-09-07	S(0),M(1),L(2),XL(0)	3
765	41	76	2023-09-07	S(1),M(0),L(2),XL(2)	1
766	30	67	2023-09-07	S(0),M(0),L(1),XL(2)	4
767	24	58	2023-09-07	S(0),M(2),L(2),XL(2)	5
768	87	90	2023-09-07	S(0),M(1),L(1),XL(1)	4
769	100	24	2023-09-07	S(1),M(1),L(1),XL(0)	1
770	95	40	2023-09-08	S(0),M(2),L(0),XL(0)	4
771	67	46	2023-09-08	S(2),M(0),L(0),XL(0)	6
772	76	9	2023-09-08	S(1),M(2),L(1),XL(0)	4
773	10	76	2023-09-08	S(1),M(2),L(0),XL(2)	5
774	46	1	2023-09-08	S(1),M(0),L(1),XL(1)	2
775	100	90	2023-09-08	S(2),M(2),L(1),XL(1)	3
776	100	53	2023-09-08	S(1),M(1),L(1),XL(2)	4
777	18	42	2023-09-08	S(1),M(0),L(2),XL(0)	1
778	60	45	2023-09-08	S(1),M(0),L(0),XL(0)	2
779	87	12	2023-09-08	S(2),M(1),L(2),XL(1)	3
780	14	37	2023-09-08	S(0),M(2),L(2),XL(0)	2
781	96	13	2023-09-08	S(0),M(1),L(0),XL(0)	4
782	4	58	2023-09-08	S(2),M(0),L(2),XL(1)	1
783	55	33	2023-09-09	S(0),M(1),L(0),XL(2)	4
784	80	26	2023-09-09	S(1),M(1),L(2),XL(1)	2
785	46	16	2023-09-09	S(1),M(2),L(2),XL(1)	2
786	62	34	2023-09-09	S(1),M(0),L(1),XL(0)	5
787	48	80	2023-09-09	S(2),M(0),L(0),XL(1)	3
788	29	68	2023-09-09	S(0),M(0),L(0),XL(1)	4
789	32	81	2023-09-09	S(0),M(0),L(2),XL(1)	6
790	4	53	2023-09-09	S(2),M(0),L(2),XL(0)	6
791	95	43	2023-09-09	S(1),M(1),L(2),XL(1)	2
792	34	84	2023-09-09	S(0),M(2),L(2),XL(2)	4
793	19	81	2023-09-09	S(1),M(1),L(2),XL(1)	6
794	30	79	2023-09-09	S(1),M(2),L(1),XL(0)	4
795	43	35	2023-09-09	S(1),M(0),L(2),XL(2)	3
796	59	38	2023-09-09	S(0),M(2),L(2),XL(2)	4
797	76	44	2023-09-09	S(0),M(1),L(2),XL(2)	5
798	21	71	2023-09-09	S(0),M(1),L(2),XL(1)	2
799	27	41	2023-09-10	S(1),M(2),L(2),XL(1)	4
800	20	88	2023-09-10	S(0),M(0),L(2),XL(2)	3
801	61	95	2023-09-10	S(1),M(0),L(2),XL(2)	1
802	27	75	2023-09-10	S(2),M(1),L(1),XL(2)	2
803	61	57	2023-09-10	S(2),M(0),L(1),XL(1)	6
804	23	60	2023-09-10	S(2),M(1),L(1),XL(2)	6
805	28	37	2023-09-10	S(0),M(1),L(2),XL(0)	6
806	4	72	2023-09-10	S(2),M(1),L(0),XL(1)	3
807	24	60	2023-09-10	S(0),M(1),L(0),XL(2)	2
808	66	64	2023-09-10	S(1),M(2),L(2),XL(1)	3
809	35	75	2023-09-10	S(0),M(1),L(0),XL(2)	3
810	34	58	2023-09-10	S(0),M(0),L(2),XL(1)	6
811	13	3	2023-09-10	S(2),M(2),L(1),XL(1)	4
812	52	27	2023-09-10	S(0),M(1),L(1),XL(0)	4
813	20	65	2023-09-10	S(1),M(2),L(2),XL(1)	5
814	19	58	2023-09-10	S(0),M(1),L(1),XL(2)	3
815	4	91	2023-09-10	S(2),M(1),L(1),XL(1)	1
816	54	20	2023-09-10	S(1),M(1),L(2),XL(2)	5
817	72	60	2023-09-10	S(0),M(1),L(0),XL(1)	1
818	75	63	2023-09-10	S(1),M(1),L(1),XL(1)	3
819	74	33	2023-09-11	S(0),M(1),L(1),XL(0)	4
820	82	23	2023-09-11	S(1),M(1),L(2),XL(1)	2
821	6	99	2023-09-11	S(1),M(2),L(1),XL(1)	2
822	9	18	2023-09-11	S(0),M(2),L(1),XL(0)	3
823	91	35	2023-09-11	S(0),M(1),L(0),XL(1)	6
824	29	88	2023-09-11	S(1),M(1),L(2),XL(0)	4
825	16	11	2023-09-11	S(2),M(1),L(2),XL(2)	3
826	95	27	2023-09-11	S(1),M(1),L(2),XL(0)	5
827	72	16	2023-09-11	S(1),M(2),L(0),XL(1)	2
828	81	1	2023-09-11	S(1),M(0),L(2),XL(0)	2
829	88	95	2023-09-11	S(0),M(1),L(2),XL(1)	6
830	50	71	2023-09-11	S(0),M(0),L(2),XL(0)	4
831	82	56	2023-09-11	S(1),M(0),L(0),XL(1)	3
832	60	58	2023-09-11	S(1),M(1),L(0),XL(1)	6
833	94	100	2023-09-11	S(0),M(0),L(2),XL(2)	2
834	28	59	2023-09-11	S(1),M(2),L(1),XL(1)	2
835	9	42	2023-09-11	S(0),M(0),L(1),XL(2)	5
836	32	40	2023-09-11	S(2),M(0),L(1),XL(0)	3
837	69	85	2023-09-11	S(2),M(0),L(2),XL(0)	1
838	25	64	2023-09-11	S(2),M(0),L(2),XL(0)	3
839	84	60	2023-09-11	S(0),M(2),L(2),XL(0)	4
840	87	83	2023-09-12	S(2),M(2),L(0),XL(1)	3
841	65	63	2023-09-12	S(0),M(0),L(0),XL(1)	5
842	10	73	2023-09-12	S(0),M(2),L(0),XL(2)	2
843	29	36	2023-09-12	S(2),M(2),L(0),XL(2)	1
844	88	50	2023-09-12	S(1),M(1),L(2),XL(0)	3
845	84	18	2023-09-12	S(0),M(0),L(1),XL(2)	1
846	49	48	2023-09-12	S(1),M(1),L(2),XL(0)	2
