m_no	r_no	m_menu	m_sub1	m_sub2	m_sub3	m_price	m_num
361	51	생 등심 돈카츠	추가 선택, 돈카츠 소스 추가 +1000, 타르타르 소스 추가 +1000, 칠리 소스 추가 +1000, 핫소스 추가 +1000			3900	1
362	51	생 안심 돈카츠	추가 선택, 돈카츠 소스 추가 +1000, 타르타르 소스 추가 +1000, 칠리 소스 추가 +1000, 핫소스 추가 +1000			5900	1
363	51	더블 치즈 돈카츠	추가 선택, 돈카츠 소스 추가 +1000, 타르타르 소스 추가 +1000, 칠리 소스 추가 +1000, 핫소스 추가 +1000			5900	1
364	51	멘보샤 4개				4900	2
365	52	마라탕	맛 변경, 순한맛 +0, 약간맛 +0, 중간맛 +0, 매운맛 +0, 아주매운맛 +0	추가 선택, 소고기 +2500, 양고기 +25000, 청경채 +2000, 팽이버섯 +2000, 분모자 +3000, 당면 +2000, 넓은 당면 +3000, 옥수수면 +3000, 뉴진면 +3000		10000	1
366	52	마라샹궈				20000	1
367	52	꿔바로우				15000	1
368	52	깐풍기				15000	1
369	52	동파육				18000	1
370	53	고기짜장				7500	1
371	53	고기짬뽕				8500	1
372	53	짜장면				6000	1
373	53	고추짜장				7000	1
374	53	짬뽕				7000	1
375	53	미니 탕수육 세트(1인)				15500	1
