p_no	u_no	g_no	p_quantity	 p_amount 	p_state
1068	90	148	1	18870	2
1069	222	148	1	18870	3
1070	119	26	3	125580	1
1071	124	140	2	54740	3
1072	278	48	1	27968	3
1073	277	145	3	42228	2
1074	91	73	1	20570	3
1075	111	61	2	75992	1
1076	155	111	4	148480	2
1077	14	19	4	172536	3
1078	93	39	3	67248	3
1079	154	6	1	8964	2
1080	106	144	2	58880	1
1081	40	137	2	81144	3
1082	235	121	4	127328	3
1083	112	20	2	84830	3
1084	278	135	2	73920	3
1085	251	149	4	181424	3
1086	179	48	1	25840	2
1087	93	9	1	15721	1
1088	208	48	4	111872	2
1089	242	12	3	121218	2
1090	101	141	3	74460	2
1091	143	2	1	38448	2
1092	141	48	2	51680	3
1093	30	38	3	83385	2
1094	255	82	2	9044	3
1095	149	67	4	111520	2
1096	18	148	3	56610	2
1097	198	50	2	63180	3
1098	175	16	1	11304	3
1099	200	65	4	112880	2
1100	220	147	4	147568	3
1101	216	62	4	114240	3
1102	85	133	1	12350	2
1103	207	131	3	34170	2
1104	262	14	2	51224	2
1105	111	131	4	45560	2
1106	245	90	3	117135	2
1107	105	150	1	37914	3
1108	278	66	2	81090	1
1109	84	86	3	34500	1
1110	109	78	2	60168	2
1111	133	89	1	20880	3
1112	142	150	4	136320	2
1113	261	10	1	9592	1
1114	40	92	4	37800	2
1115	1	101	4	119680	1
1116	250	35	4	152516	2
1117	73	118	2	80960	1
1118	154	56	1	19440	1
1119	124	148	4	75480	2
1120	62	18	3	26145	1
1121	257	20	2	84830	3
1122	123	20	2	28200	1
1123	212	20	2	73600	1
1124	113	20	1	40800	3
1125	155	79	3	72312	3
1126	133	71	3	115644	3
1127	129	70	4	172172	2
1128	145	140	4	109480	2
1129	4	23	3	119850	1
1130	180	98	3	102255	2
1131	195	129	2	22230	2
1132	204	73	2	41140	3
1133	37	128	2	90896	1
1134	26	116	1	12960	3
1135	29	41	1	46360	1
1136	232	69	2	73280	1
1137	136	144	3	104880	2
1138	84	42	1	27048	2
1139	45	42	1	27048	3
1140	184	42	1	27048	2
1141	9	52	1	13005	2
1142	10	21	1	42228	1
1143	31	79	1	24104	1
1144	33	42	2	54096	1
1145	184	150	3	113742	3
1146	260	8	1	3422	3
1147	180	40	1	25650	3
1148	97	55	4	43032	1
1149	101	21	4	168912	2
1150	275	129	4	42120	1
1151	1	55	3	32274	1
1152	92	16	1	11304	3
1153	123	2	2	76896	2
1154	34	41	4	177632	1
1155	187	131	4	45560	1
1156	158	47	2	62220	1
1157	86	3	4	14456	3
1158	41	44	1	17850	3
1159	21	136	1	23970	1
1160	214	150	2	25560	2
1161	259	18	4	34860	2
1162	253	132	4	61920	1
1163	176	96	4	174960	2
1164	180	1	3	114240	2
1165	43	111	1	39440	3
1166	280	47	1	31110	3
1167	248	64	2	23472	3
1168	267	143	4	115552	3
1169	275	139	3	41820	3
1170	14	66	1	40545	1
1171	5	28	4	110664	1
1172	175	16	4	160140	1
1173	14	53	3	60168	2
1174	243	134	3	111504	2
1175	8	109	3	107100	2
1176	46	106	2	56304	1
1177	30	46	2	93480	2
1178	130	9	1	15721	2
1179	71	110	4	116232	2
1180	107	107	4	180908	2
1181	84	82	2	9044	2
1182	156	138	1	42245	2
1183	197	81	3	82935	2
1184	64	146	4	98420	2
1185	205	147	4	147568	1
1186	176	147	4	93600	2
1187	243	147	1	21600	1
1188	127	120	3	124488	3
1189	115	106	3	84456	3
1190	168	18	3	26145	2
1191	78	84	2	81328	1
1192	242	96	1	46170	3
1193	255	96	1	46170	1
1194	4	29	3	107364	2
1195	72	125	4	108300	1
1196	108	86	3	34125	2
1197	190	129	1	11115	2
1198	73	135	2	73920	2
1199	271	6	3	15876	1
1200	151	94	2	40460	3
1201	15	93	3	138663	3
1202	7	96	2	87480	1
1203	157	96	3	138510	3
1204	53	59	3	56400	2
1205	170	146	2	46620	3
1206	57	85	4	83720	3
1207	275	71	3	115644	2
1208	72	21	3	130815	1
1209	279	68	3	95190	2
1210	253	118	2	70400	2
1211	185	3	2	23352	2
1212	122	11	2	38844	3
1213	209	140	2	54740	1
1214	234	93	3	138663	2
1215	215	147	1	36892	3
1216	159	80	2	48280	1
1217	69	99	2	23970	3
1218	222	4	1	33680	1
1219	9	122	1	15810	1
1220	180	70	2	86086	3
1221	209	75	2	42480	1
1222	206	57	1	32965	3
1223	175	106	1	28152	2
1224	93	96	2	87480	2
1225	39	39	1	22416	3
1226	107	139	2	27880	3
1227	225	121	1	31832	3
1228	232	121	1	31832	1
1229	189	121	1	13000	2
1230	163	122	2	31620	1
1231	89	84	3	121992	3
1232	234	108	2	75072	3
1233	267	31	2	78660	1
1234	106	55	2	50856	3
1235	265	81	2	53544	1
1236	248	58	4	122560	1
1237	205	16	4	160140	3
1238	213	34	1	9605	3
1239	260	35	1	38548	1
1240	13	77	1	34580	3
1241	29	65	3	84660	1
1242	243	66	1	40545	3
1243	78	3	4	14456	2
1244	231	33	2	34510	1
1245	167	91	4	68680	3
1246	180	139	3	41820	1
1247	120	43	3	72930	1
1248	220	99	3	35955	1
1249	244	40	4	104880	3
1250	140	40	3	57600	2
1251	57	40	1	26220	1
1252	213	3	2	23352	3
1253	60	4	3	101040	1
1254	44	135	1	42504	3
1255	119	69	2	73280	3
1256	62	64	3	35208	2
1257	168	125	1	22800	2
1258	113	47	3	93330	1
1259	111	61	4	151984	2
1260	95	55	3	76284	2
1261	90	145	4	55080	2
1262	273	103	1	12512	3
1263	45	100	3	44460	1
1264	154	15	3	45390	1
1265	273	36	3	110124	2
1266	110	143	2	57776	1
1267	148	73	1	20570	2
1268	29	73	1	20570	1
1269	142	73	1	20570	2
1270	50	73	1	20570	1
1271	238	89	1	24012	1
1272	45	50	2	63180	2
1273	177	47	3	93330	2
1274	172	90	2	74802	3
1275	108	43	1	26312	2
1276	226	2	3	45360	1
1277	232	115	2	62130	1
1278	137	34	1	9605	2
1279	203	10	1	9592	1
1280	4	74	2	52640	1
1281	92	138	2	84490	2
1282	78	133	4	49400	1
1283	54	120	1	43320	2
1284	16	64	1	11736	3
1285	68	91	4	74336	2
1286	203	108	3	112608	3
1287	210	69	2	73280	2
1288	106	14	3	44484	3
1289	74	68	2	60120	1
1290	125	98	1	34085	3
1291	226	68	3	95190	3
1292	32	45	3	47430	1
1293	14	70	1	43043	1
1294	187	6	3	26892	2
1295	77	125	2	45600	3
1296	137	132	1	15824	2
1297	63	132	1	15824	1
1298	183	132	2	31648	3
1299	232	10	4	38368	3
1300	114	82	3	13566	2
1301	224	124	4	156284	2
1302	90	63	3	93195	2
1303	36	135	3	110880	3
1304	173	29	1	35010	3
1305	199	25	2	78936	1
1306	65	103	4	50048	1
1307	96	88	3	106200	1
1308	226	8	2	20768	1
1309	224	86	3	37500	3
1310	212	41	2	97600	3
1311	149	133	1	13000	1
1312	198	83	5	229000	1
1313	107	92	5	47250	3
1314	199	150	4	170400	2
1315	91	86	1	12500	1
1316	183	83	3	116790	1
1317	206	55	3	76284	3
1318	88	129	1	10530	3
1319	280	148	3	66600	1
1320	162	131	4	53600	3
1321	232	14	3	44484	1
1322	67	129	1	11700	1
1323	10	122	1	15810	3
1324	156	122	1	15810	3
1325	141	122	1	15810	1
1326	261	33	2	34510	2
1327	14	121	4	127328	2
1328	164	88	2	70800	3
1329	190	16	5	235500	2
1330	18	47	2	73200	2
1331	274	73	1	20570	1
1332	161	1	2	26880	3
1333	122	130	1	28980	3
1334	76	91	4	68680	2
1335	30	128	4	181792	1
1336	128	125	3	85500	3
1337	4	72	2	73910	3
1338	57	140	1	32200	1
1339	21	45	1	18600	2
1340	272	15	4	23496	3
1341	224	124	5	100970	3
1342	270	76	2	51870	3
1343	132	20	1	49900	2
1344	188	87	5	240000	2
1345	270	27	2	44600	1
1346	214	20	4	169660	1
1347	131	14	1	25612	1
1348	83	47	2	73200	3
1349	34	99	1	11985	3
1350	55	99	1	11985	2
1351	40	99	1	11985	2
1352	187	99	3	42300	1
1353	141	81	1	29100	3
1354	86	98	4	152380	1
1355	279	24	2	52400	2
1356	258	89	1	26100	1
1357	260	34	3	28815	1
1358	254	132	3	51600	2
1359	228	104	3	27963	1
1360	235	94	1	20230	3
1361	147	10	2	87200	2
1362	88	28	2	63600	1
1363	106	79	1	26200	2
1364	140	132	3	51600	3
1365	176	7	4	71448	2
1366	279	22	4	150000	2
1367	196	126	2	51680	2
1368	147	129	3	35100	3
1369	40	44	1	21000	1
1370	103	141	1	24820	3
1371	278	94	2	47600	3
1372	18	15	1	5874	3
1373	237	56	1	21600	3
1374	250	75	2	43424	3
1375	50	75	5	118000	3
1376	231	69	2	73280	1
1377	8	129	4	46800	2
1378	59	59	2	47000	1
1379	66	128	1	45448	2
1380	136	10	2	87200	1
1381	30	90	3	117135	3
1382	81	114	3	70866	2
1383	160	52	3	45900	2
1384	13	105	4	156060	3
1385	158	81	4	116400	1
1386	162	4	4	134720	1
1387	252	127	2	53440	1
1388	231	55	4	43032	2
1389	69	70	3	129129	1
1390	101	70	3	94860	2
1391	210	70	2	94600	3
1392	148	118	4	161920	1
1393	231	95	4	130800	1
1394	226	47	5	183000	2
1395	145	65	1	28220	2
1396	21	7	2	76944	2
1397	162	117	2	51000	3
1398	240	44	3	63000	2
1399	81	101	2	70400	2
1400	50	47	4	124440	2
1401	214	89	4	104400	3
1402	67	119	4	88920	2
1403	152	104	5	46605	1
1404	50	20	2	99800	3
1405	188	6	2	21600	1
1406	137	8	3	35400	1
1407	261	32	1	44800	2
1408	33	7	2	35724	2
1409	221	54	3	130200	2
1410	189	2	1	15120	1
1411	94	49	1	17680	1
1412	150	49	1	17680	1
1413	202	49	1	17680	2
1414	23	49	2	35360	1
1415	204	120	1	45600	1
1416	139	30	2	40480	3
1417	184	86	1	11500	3
1418	20	42	3	74970	2
1419	246	45	2	35340	3
1420	278	104	2	18642	3
1421	238	43	4	114400	3
1422	1	35	1	41900	2
1423	224	53	3	60168	2
1424	202	117	3	76500	3
1425	242	24	4	104800	3
1426	29	95	2	60822	1
1427	174	50	1	35100	2
1428	161	97	3	90345	1
1429	210	132	5	86000	2
1430	241	135	1	46200	1
1431	176	99	3	35955	3
1432	23	5	3	29736	1
1433	200	140	4	109480	2
1434	116	18	1	4725	1
1435	211	141	4	116800	3
1436	257	11	5	51480	2
1437	99	98	3	120300	3
1438	229	148	1	22200	1
1439	266	122	2	37200	1
1440	141	130	1	31500	1
1441	204	82	1	4522	2
1442	156	74	2	52640	1
1443	148	128	5	247000	2
1444	204	86	2	25000	2
1445	202	84	5	221000	1
1446	174	105	1	39015	2
1447	263	105	1	39015	2
1448	43	119	2	46800	2
1449	251	150	3	38340	2
1450	180	85	3	69000	3
1451	11	132	1	15824	3
1452	104	132	1	15824	3
1453	64	132	4	63296	1
1454	111	112	1	17120	1
1455	222	127	1	33400	2
1456	258	132	3	47472	3
1457	252	138	5	248500	3
1458	207	138	1	25840	3
1459	143	138	1	32500	3
1460	183	138	3	149100	3
1461	112	18	3	31500	3
1462	168	44	5	105000	3
1463	217	108	3	122400	2
1464	154	20	1	42415	3
1465	43	20	1	42415	3
1466	186	123	3	97500	3
1467	150	144	2	73600	1
1468	219	77	2	69160	3
1469	228	84	3	132600	3
1470	275	111	3	139200	2
1471	22	111	1	39440	2
1472	75	111	1	39440	3
1473	124	111	1	26200	2
1474	222	147	5	200500	1
1475	8	133	1	10400	3
1476	196	118	1	40480	1
1477	166	73	1	24200	1
1478	191	128	1	45448	3
1479	73	62	5	168000	2
1480	77	66	1	40545	3
1481	237	66	1	40545	3
1482	269	66	1	32500	1
1483	257	66	1	37401	2
1484	145	128	1	45448	3
1485	60	67	5	164000	1
1486	252	45	2	37200	3
1487	190	130	2	63000	3
1488	89	101	4	140800	2
1489	221	76	3	78660	2
1490	96	29	2	71576	1
1491	98	124	1	20194	3
1492	81	56	1	21600	1
1493	55	87	2	96000	1
1494	201	14	4	59312	3
1495	95	128	2	98800	3
1496	43	128	2	37600	3
1497	31	128	2	90896	3
1498	25	8	4	47200	3
1499	55	122	3	47430	1
1500	277	15	2	30260	3
1501	273	77	1	38000	2
1502	101	14	2	29656	3
1503	164	60	2	52160	2
1504	278	123	3	97500	2
1505	214	95	2	60822	3
1506	236	9	3	47163	2
1507	268	16	4	188400	3
1508	91	4	4	168400	3
1509	147	92	1	22680	1
1510	113	8	1	11800	2
1511	77	150	4	170400	2
1512	38	69	5	52670	3
1513	72	28	3	95400	3
1514	16	29	2	70020	2
1515	228	63	5	163500	2
1516	69	6	2	21600	1
1517	197	53	1	20056	2
1518	118	98	4	136340	2
1519	24	148	2	44400	1
1520	204	147	4	160400	1
1521	86	23	1	47000	3
1522	247	16	5	235500	3
1523	11	30	1	22000	2
1524	72	83	2	77860	1
1525	188	94	2	40460	2
1526	67	15	1	5874	3
1527	138	98	3	120300	1
1528	253	103	3	40800	3
1529	90	138	1	49700	2
1530	72	138	4	102375	3
1531	46	138	5	248500	1
1532	228	138	1	13000	1
1533	263	29	4	143152	2
1534	6	20	3	149700	1
1535	223	58	1	30640	3
1536	44	31	4	157320	2
1537	80	58	2	72770	3
1538	251	10	4	174400	2
1539	262	69	1	36640	2
1540	190	5	3	29736	2
1541	93	135	1	46200	2
1542	85	67	4	111520	1
1543	168	42	5	124950	1
1544	128	38	1	32700	3
1545	124	88	5	177000	2
1546	91	16	5	235500	2
1547	276	24	1	26200	3
1548	157	58	1	38300	2
1549	234	75	5	118000	3
1550	6	47	1	36600	1
1551	152	31	3	114264	1
1552	137	98	3	120300	1
1553	11	88	1	35400	3
1554	130	5	3	29736	2
1555	156	136	2	47940	3
1556	23	52	1	15300	1
1557	162	22	2	67500	2
1558	103	22	1	37500	1
1559	206	22	1	37500	1
1560	18	65	3	99600	1
1561	242	50	1	35100	3
1562	129	92	1	22680	1
1563	221	71	1	39805	3
1564	119	71	1	39805	3
1565	102	36	4	159600	1
1566	223	40	4	104880	2
1567	157	13	1	12525	1
1568	141	76	4	114000	2
1569	165	4	2	67360	1
1570	176	29	3	107364	1
1571	69	97	2	57060	1
1572	72	58	2	76600	2
1573	254	44	2	35700	1
1574	243	121	4	127328	3
1575	216	86	3	34500	1
1576	63	100	2	31200	1
1577	243	33	2	40600	3
1578	75	146	4	103600	1
1579	178	137	3	121716	3
1580	184	95	1	31065	3
1581	228	95	4	124260	1
1582	244	129	2	23400	2
1583	57	119	3	70200	3
1584	234	21	2	87210	1
1585	6	44	3	63000	3
1586	239	76	4	114000	3
1587	266	68	3	100200	1
1588	280	150	1	42600	3
1589	3	132	4	68800	3
1590	167	145	2	28152	2
1591	140	124	4	80776	2
1592	48	38	1	27795	1
1593	274	115	1	29757	3
1594	191	115	1	29757	2
1595	63	6	2	17928	2
1596	104	41	4	177632	2
1597	205	53	1	21800	1
1598	88	53	1	20710	2
1599	86	138	2	84490	1
1600	262	138	3	51600	2
1601	117	138	2	55360	1
1602	35	53	2	41420	2
1603	51	29	1	35010	2
1604	62	29	2	77800	2
1605	89	59	2	37600	3
1606	45	9	2	31442	1
1607	271	73	5	121000	3
1608	5	79	4	96416	1
1609	43	55	5	53790	3
1610	103	83	1	38930	3
1611	89	10	1	43600	3
1612	139	132	2	31648	2
1613	84	76	5	142500	2
1614	116	46	3	147600	2
1615	83	149	1	46835	1
1616	116	39	4	186800	3
1617	73	129	2	23400	2
1618	204	129	2	23400	2
1619	240	50	3	105300	2
1620	133	5	5	49560	2
1621	32	118	4	176000	3
1622	214	77	1	38000	3
1623	152	6	4	43200	2
1624	39	129	2	23400	2
1625	224	140	1	32200	1
1626	110	135	2	92400	3
1627	140	56	1	19440	2
1628	78	35	4	167600	3
1629	210	6	3	32400	2
1630	102	62	2	67200	3
1631	181	102	3	103800	3
1632	24	85	4	92000	1
1633	109	89	2	52200	3
1634	166	140	1	32200	3
1635	98	76	1	25935	1
1636	96	89	1	24012	1
1637	158	112	2	42800	1
1638	215	112	1	19688	2
1639	274	112	4	85600	3
1640	40	129	3	31590	3
1641	29	41	1	48800	2
1642	80	42	2	58800	1
1643	221	68	1	33400	2
1644	82	126	5	152000	2
1645	276	142	1	13000	1
1646	190	38	1	27795	2
1647	85	38	1	27795	1
1648	126	38	1	27795	3
1649	14	38	1	27795	2
1650	52	60	3	97800	1
1651	139	46	2	98400	2
1652	187	134	4	161600	3
1653	85	144	2	73600	1
1654	64	40	2	57000	2
1655	155	7	5	89310	3
1656	29	43	1	28600	2
1657	190	8	1	3422	2
1658	273	40	4	114000	2
1659	228	10	5	218000	2
1660	95	64	4	46944	3
1661	184	133	1	10400	1
1662	278	94	4	95200	1
1663	131	139	4	65600	2
1664	226	51	3	88485	2
1665	248	54	3	110670	3
1666	177	74	5	156275	3
1667	52	34	2	22600	3
1668	172	20	3	127245	1
1669	269	52	4	52020	2
1670	131	58	1	36385	1
1671	98	10	3	130800	3
1672	180	7	3	53586	3
1673	45	41	4	195200	2
1674	121	75	1	21712	1
1675	259	129	4	46800	3
1676	127	66	2	95400	1
1677	68	133	1	13000	1
1678	111	3	4	14456	3
1679	210	65	4	132800	3
1680	141	12	1	45400	2
1681	187	102	2	69200	1
1682	28	125	2	54150	2
1683	23	43	2	57200	3
1684	68	129	5	58500	3
1685	149	81	3	87300	3
1686	81	9	4	39800	1
1687	44	84	5	221000	3
1688	182	94	5	101150	1
1689	87	121	5	173000	2
1690	138	112	1	19688	2
1691	11	112	1	19688	1
1692	245	112	2	39376	3
1693	209	43	5	143000	3
1694	29	28	2	63600	3
1695	123	77	4	138320	3
1696	152	22	4	150000	2
1697	198	57	2	69400	3
1698	264	73	1	24200	2
1699	215	98	4	160400	1
1700	87	52	4	61200	1
1701	47	37	1	17856	3
1702	32	1	2	26880	3
1703	223	73	2	48400	2
1704	206	7	4	71448	1
1705	134	16	1	47100	1
1706	72	46	1	49200	3
1707	252	37	3	54720	2
1708	128	93	3	149100	3
1709	227	114	2	50800	3
1710	151	38	5	163500	2
1711	74	114	2	48260	1
1712	280	114	4	101600	2
1713	96	59	5	117500	1
1714	101	103	4	54400	1
1715	70	121	2	69200	2
1716	166	9	3	47163	3
1717	154	74	5	131600	2
1718	46	50	1	31590	1
1719	105	105	3	137700	3
1720	193	20	5	249500	1
1721	76	104	4	37284	2
1722	83	46	4	181056	3
1723	150	17	5	165000	2
1724	145	101	3	89760	1
1725	177	15	5	29370	3
1726	8	134	5	185840	2
1727	260	98	1	40100	3
1728	11	32	5	224000	2
1729	93	21	4	183600	3
1730	270	48	5	139840	3
1731	44	109	2	71400	2
1732	127	133	4	41600	2
1733	80	67	1	27880	3
1734	276	141	3	87600	3
1735	205	119	5	117000	1
1736	196	136	4	112800	3
1737	183	91	1	20200	1
1738	70	105	5	229500	1
1739	62	12	5	227000	3
1740	280	75	3	65136	2
1741	174	3	3	10842	2
1742	152	25	5	214500	1
1743	168	28	5	159000	2
1744	224	125	3	81225	3
1745	150	86	4	50000	1
1746	212	19	5	237000	3
1747	209	111	1	37120	2
1748	118	10	3	28776	2
1749	167	109	5	210000	2
1750	210	46	2	98400	3
1751	173	40	5	142500	3
1752	110	40	1	28500	2
1753	138	40	1	18800	1
1754	156	148	3	56610	2
1755	264	6	2	21600	2
1756	133	16	1	11304	2
1757	131	104	3	27963	2
1758	85	132	1	15480	2
1759	1	53	4	87200	2
1760	205	124	1	20194	3
1761	231	50	3	94770	3
1762	7	51	2	69400	3
1763	101	16	2	94200	3
1764	240	100	2	29640	1
1765	110	18	1	10500	2
1766	176	59	4	94000	3
1767	200	124	1	20194	1
1768	158	17	1	31350	1
1769	180	15	3	17622	3
1770	94	43	2	48620	1
1771	226	83	3	116790	3
1772	138	134	2	80800	2
1773	189	124	4	80776	1
1774	7	84	2	80444	3
1775	165	56	1	21600	2
1776	93	123	2	65000	1
1777	132	150	2	85200	3
1778	66	5	1	9912	2
1779	89	6	1	10800	3
1780	248	15	4	23496	3
1781	223	109	3	107100	3
1782	32	109	1	26200	1
1783	42	109	4	168000	1
1784	279	109	4	168000	2
1785	14	27	2	37910	3
1786	37	87	2	96000	3
1787	28	111	5	232000	2
1788	169	67	5	139400	2
1789	98	75	3	63720	1
1790	168	109	2	84000	3
1791	223	78	2	60168	2
1792	255	109	2	84000	3
1793	262	68	3	90180	1
1794	173	8	1	11800	3
1795	126	4	5	210500	2
1796	86	135	3	110880	1
1797	242	43	5	143000	1
1798	143	43	1	28600	2
1799	280	43	1	26312	2
1800	196	63	5	163500	3
1801	60	146	5	129500	3
1802	4	111	1	46400	3
1803	88	25	4	157872	2
1804	226	125	5	142500	1
1805	161	15	2	11748	2
1806	17	103	4	51680	1
1807	99	97	3	95100	2
1808	124	111	1	37120	1
1809	84	125	4	114000	2
1810	66	51	3	88485	2
1811	116	81	4	107088	2
1812	265	148	3	56610	2
1813	30	126	4	103360	3
1814	144	121	3	95496	2
1815	251	99	1	14100	2
1816	164	40	4	114000	2
1817	158	141	3	74460	3
1818	131	72	3	116700	2
1819	191	72	2	77800	2
